Process ID,Arrival,Burst,Start,Finish,Waiting,Turnaround,Response Time
P55,2,1,24,25,22,23,22
P22,3,1,30,31,27,28,27
P18,6,1,61,62,55,56,55
P19,6,1,62,63,56,57,56
P58,9,1,93,94,84,85,84
P72,8,2,78,116,106,108,70
P6,3,2,27,118,113,115,24
P59,6,2,64,123,115,117,58
P28,7,2,70,128,119,121,63
P69,1,3,14,187,183,186,13
P52,9,3,91,207,195,198,82
P21,3,4,29,212,205,209,26
P5,2,4,17,240,234,238,15
P76,4,2,43,242,236,238,39
P7,2,5,18,246,239,244,16
P56,9,5,92,262,248,253,83
P89,5,5,56,264,254,259,51
P88,4,4,45,268,260,264,41
P86,5,6,55,298,287,293,50
P46,9,4,89,308,295,299,80
P17,5,3,49,348,340,343,44
P100,6,7,68,367,354,361,62
P66,8,4,77,368,356,360,69
P12,9,6,85,374,359,365,76
P87,6,8,67,389,375,383,61
P30,2,6,21,400,392,398,19
P9,2,6,19,413,405,411,17
P24,4,9,38,417,404,413,34
P11,8,7,75,419,404,411,67
P35,0,5,2,432,427,432,2
P36,2,9,22,469,458,467,20
P13,7,8,69,527,512,520,62
P79,8,10,79,529,511,521,71
P48,7,12,72,537,518,530,65
P8,4,8,37,555,543,551,33
P45,2,13,23,562,547,560,21
P39,0,14,3,588,574,588,3
P2,4,8,36,593,581,589,32
P63,4,9,40,596,583,592,36
P94,8,8,82,606,590,598,74
P62,9,12,95,611,590,602,86
P10,9,10,84,615,596,606,75
P47,1,8,12,645,636,644,11
P23,9,17,86,649,623,640,77
P42,4,12,39,672,656,668,35
P50,3,13,33,681,665,678,30
P40,9,11,87,683,663,674,78
P60,9,11,94,689,669,680,85
P80,5,10,54,692,677,687,49
P49,9,16,90,694,669,685,81
P96,4,17,47,695,674,691,43
P33,1,19,10,696,676,695,9
P81,1,8,15,704,695,703,14
P85,9,18,98,706,679,697,89
P78,4,14,44,718,700,714,40
P95,4,2,46,728,722,724,42
P38,7,6,71,741,728,734,64
P44,9,16,88,744,719,735,79
P3,1,15,7,747,731,746,6
P82,9,7,97,751,735,742,88
P34,5,19,51,753,729,748,46
P98,4,20,48,755,731,751,44
P97,5,11,58,763,747,758,53
P70,4,8,41,764,752,760,37
P64,5,20,53,785,760,780,48
P90,5,18,57,786,763,781,52
P37,1,8,11,790,781,789,10
P83,3,8,35,794,783,791,32
P14,0,19,0,813,794,813,0
P93,8,16,81,820,796,812,73
P92,8,7,80,823,808,815,72
P41,0,20,4,829,809,829,4
P15,3,19,28,834,812,831,25
P53,5,19,52,835,811,830,47
P71,7,19,74,846,820,839,67
P27,2,20,20,866,844,864,18
P54,1,18,13,876,857,875,12
P75,4,9,42,887,874,883,38
P74,9,12,96,891,870,882,87
P91,1,17,16,898,880,897,15
P73,2,17,26,902,883,900,24
P1,9,8,83,916,899,907,74
P16,6,15,60,917,896,911,54
P65,7,12,73,918,899,911,66
P29,1,12,8,923,910,922,7
P32,5,17,50,947,925,942,45
P99,9,15,99,976,952,967,90
P67,3,14,34,990,973,987,31
P57,6,20,63,991,965,985,57
P51,0,18,5,993,975,993,5
P26,0,17,1,1004,987,1004,1
P61,6,6,65,1010,998,1004,59
P20,8,15,76,1024,1001,1016,68
P25,3,20,31,1025,1002,1022,28
P77,0,10,6,1046,1036,1046,6
P4,6,16,59,1051,1029,1045,53
P68,2,20,25,1053,1031,1051,23
P31,1,19,9,1059,1039,1058,8
P43,3,19,32,1069,1047,1066,29
P84,6,14,66,1071,1051,1065,60
SUMMARY,CFS - Completely Fair Scheduler,100 processes,Avg Wait: 615.88,Avg Turn: 626.59,Avg Response: 44.72,CPU Utilization %: 100.00,Throughput: 0.0934,,
