Process ID,Arrival,Burst,Start,Finish,Waiting,Turnaround,Response Time
P35,0,1,1,2,1,2,1
P22,1,1,6,7,5,6,5
P27,1,1,7,8,6,7,6
P7,2,1,9,10,7,8,7
P32,2,1,11,12,9,10,9
P8,3,1,12,13,9,10,9
P11,3,1,13,14,10,11,10
P31,3,1,15,16,12,13,12
P3,4,1,16,17,12,13,12
P9,5,1,22,23,17,18,17
P13,5,1,23,24,18,19,18
P18,5,1,24,25,19,20,19
P37,5,1,25,26,20,21,20
P40,5,1,26,27,21,22,21
P41,5,1,27,28,22,23,22
P48,5,1,28,29,23,24,23
P25,4,2,19,51,45,47,15
P21,7,2,34,53,44,46,27
P15,4,2,18,58,52,54,14
P43,4,2,21,60,54,56,17
P33,4,2,20,62,56,58,16
P17,1,2,5,63,60,62,4
P5,4,2,17,64,58,60,13
P44,1,2,8,77,74,76,7
P10,2,2,10,81,77,79,8
P20,3,2,14,308,303,305,11
P26,8,5,41,346,333,338,33
P16,0,6,0,480,474,480,0
P6,1,111,4,2053,1941,2052,3
P34,8,235,43,2510,2267,2502,35
P24,6,234,32,2744,2504,2738,26
P45,0,323,3,3484,3161,3484,3
P1,6,123,30,3965,3836,3959,24
P46,8,235,45,4311,4068,4303,37
P12,9,234,46,5287,5044,5278,37
P14,8,343,40,5503,5152,5495,32
P36,0,111,2,5522,5411,5522,2
P28,8,645,42,16990,16337,16982,34
P38,7,3467,36,26236,22762,26229,29
P30,9,2356,48,30724,28359,30715,39
P2,6,4562,31,31155,26587,31149,25
P23,9,2343,47,32679,30327,32670,38
P19,7,5267,33,33804,28530,33797,26
P47,9,3425,49,36123,32689,36114,40
P39,7,3467,37,37568,34094,37561,30
P29,7,4556,35,40718,36155,40711,28
P50,5,345,29,44476,44126,44471,24
P49,7,2345,38,48845,46493,48838,31
P42,8,5423,44,61887,56456,61879,36
P4,8,23432,39,63629,40189,63621,31
SUMMARY,CFS - Completely Fair Scheduler,50 processes,Avg Wait: 9566.58,Avg Turn: 10839.16,Avg Response: 19.72,CPU Utilization %: 100.00,Throughput: 0.0008,,
