Process ID,Arrival,Burst,Start,Finish,Waiting,Turnaround,Response Time
P40,8,1,44,45,36,37,36
P9,0,3,0,93,90,93,0
P44,6,3,32,111,102,105,26
P13,5,2,23,132,125,127,18
P12,9,6,47,143,128,134,38
P43,5,2,26,155,148,150,21
P17,7,4,36,198,187,191,29
P49,6,5,33,209,198,203,27
P47,5,3,27,274,266,269,22
P33,8,12,41,289,269,281,33
P15,5,14,24,306,287,301,19
P11,6,14,28,314,294,308,22
P20,3,14,16,330,313,327,13
P6,2,14,11,337,321,335,9
P23,4,14,20,347,329,343,16
P35,2,14,12,358,342,356,10
P29,8,4,40,374,362,366,32
P2,9,18,45,375,348,366,36
P30,1,17,9,376,358,375,8
P1,7,12,34,377,358,370,27
P28,4,14,21,380,362,376,17
P50,3,16,18,384,365,381,15
P8,7,11,35,391,373,384,28
P21,8,13,38,393,372,385,30
P32,5,14,25,396,377,391,20
P42,6,13,31,405,386,399,25
P34,0,14,3,431,417,431,3
P46,0,14,5,432,418,432,5
P27,8,5,39,438,425,430,31
P48,3,14,17,441,424,438,14
P37,9,10,49,465,446,456,40
P36,7,20,37,474,447,467,30
P25,6,14,30,485,465,479,24
P10,9,18,46,488,461,479,37
P3,1,14,6,494,479,493,5
P26,0,8,2,498,490,498,2
P5,5,16,22,506,485,501,17
P31,9,17,48,508,482,499,39
P22,1,17,8,510,492,509,7
P7,3,14,14,511,494,508,11
P19,4,14,19,512,494,508,15
P38,8,17,42,514,489,506,34
P18,6,14,29,530,510,524,23
P4,3,14,13,547,530,544,10
P41,0,14,4,555,541,555,4
P14,3,14,15,558,541,555,12
P16,1,14,7,570,555,569,6
P45,1,14,10,582,567,581,9
P24,0,14,1,594,580,594,1
P39,8,16,43,597,573,589,35
SUMMARY,CFS - Completely Fair Scheduler,50 processes,Avg Wait: 378.02,Avg Turn: 389.96,Avg Response: 19.82,CPU Utilization %: 100.00,Throughput: 0.0838,,
