Process ID,Arrival,Burst,Start,Finish,Waiting,Turnaround,Response Time
P30,0,1,29,30,29,30,29
P32,0,1,31,32,31,32,31
P50,0,1,49,50,49,50,49
P23,0,2,22,66,64,66,22
P34,0,3,33,159,156,159,33
P37,0,7,36,162,155,162,36
P1,0,3,0,195,192,195,0
P42,0,5,41,197,192,197,41
P47,0,9,46,235,226,235,46
P6,0,10,5,246,236,246,5
P17,0,8,16,249,241,249,16
P13,0,9,12,255,246,255,12
P25,0,12,24,258,246,258,24
P15,0,3,14,263,260,263,14
P31,0,8,30,278,270,278,30
P7,0,7,6,296,289,296,6
P43,0,8,42,307,299,307,42
P38,0,4,37,320,316,320,37
P18,0,16,17,321,305,321,17
P26,0,13,25,327,314,327,25
P9,0,2,8,343,341,343,8
P46,0,16,45,353,337,353,45
P2,0,13,1,354,341,354,1
P16,0,12,15,356,344,356,15
P24,0,14,23,359,345,359,23
P3,0,11,2,370,359,370,2
P5,0,14,4,372,358,372,4
P19,0,11,18,376,365,376,18
P45,0,11,44,383,372,383,44
P29,0,15,28,386,371,386,28
P28,0,16,27,387,371,387,27
P22,0,13,21,392,379,392,21
P27,0,13,26,401,388,401,26
P44,0,14,43,402,388,402,43
P48,0,20,47,406,386,406,47
P40,0,20,39,417,397,417,39
P12,0,8,11,422,414,422,11
P14,0,6,13,429,423,429,13
P20,0,5,19,432,427,432,19
P8,0,13,7,439,426,439,7
P4,0,16,3,447,431,447,3
P35,0,15,34,455,440,455,34
P10,0,5,9,456,451,456,9
P11,0,17,10,477,460,477,10
P36,0,19,35,491,472,491,35
P39,0,20,38,494,474,494,38
P21,0,18,20,502,484,502,20
P33,0,13,32,515,502,515,32
P41,0,11,40,516,505,516,40
P49,0,16,48,527,511,527,48
SUMMARY,CFS - Completely Fair Scheduler,50 processes,Avg Wait: 327.56,Avg Turn: 338.10,Avg Response: 24.50,CPU Utilization %: 100.00,Throughput: 0.0949,,
