Process ID,Arrival,Burst,Start,Finish,Waiting,Turnaround,Response Time
P14,0,19,0,19,0,19,0
P26,0,17,19,36,19,36,19
P35,0,5,36,41,36,41,36
P39,0,14,41,55,41,55,41
P41,0,20,55,75,55,75,55
P51,0,18,75,93,75,93,75
P77,0,10,93,103,93,103,93
P3,1,15,103,118,102,117,102
P29,1,12,118,130,117,129,117
P31,1,19,130,149,129,148,129
P33,1,19,149,168,148,167,148
P37,1,8,168,176,167,175,167
P47,1,8,176,184,175,183,175
P54,1,18,184,202,183,201,183
P69,1,3,202,205,201,204,201
P81,1,8,205,213,204,212,204
P91,1,17,213,230,212,229,212
P5,2,4,230,234,228,232,228
P7,2,5,234,239,232,237,232
P9,2,6,239,245,237,243,237
P27,2,20,245,265,243,263,243
P30,2,6,265,271,263,269,263
P36,2,9,271,280,269,278,269
P45,2,13,280,293,278,291,278
P55,2,1,293,294,291,292,291
P68,2,20,294,314,292,312,292
P73,2,17,314,331,312,329,312
P6,3,2,331,333,328,330,328
P15,3,19,333,352,330,349,330
P21,3,4,352,356,349,353,349
P22,3,1,356,357,353,354,353
P25,3,20,357,377,354,374,354
P43,3,19,377,396,374,393,374
P50,3,13,396,409,393,406,393
P67,3,14,409,423,406,420,406
P83,3,8,423,431,420,428,420
P2,4,8,431,439,427,435,427
P8,4,8,439,447,435,443,435
P24,4,9,447,456,443,452,443
P42,4,12,456,468,452,464,452
P63,4,9,468,477,464,473,464
P70,4,8,477,485,473,481,473
P75,4,9,485,494,481,490,481
P76,4,2,494,496,490,492,490
P78,4,14,496,510,492,506,492
P88,4,4,510,514,506,510,506
P95,4,2,514,516,510,512,510
P96,4,17,516,533,512,529,512
P98,4,20,533,553,529,549,529
P17,5,3,553,556,548,551,548
P32,5,17,556,573,551,568,551
P34,5,19,573,592,568,587,568
P53,5,19,592,611,587,606,587
P64,5,20,611,631,606,626,606
P80,5,10,631,641,626,636,626
P86,5,6,641,647,636,642,636
P89,5,5,647,652,642,647,642
P90,5,18,652,670,647,665,647
P97,5,11,670,681,665,676,665
P4,6,16,681,697,675,691,675
P16,6,15,697,712,691,706,691
P18,6,1,712,713,706,707,706
P19,6,1,713,714,707,708,707
P57,6,20,714,734,708,728,708
P59,6,2,734,736,728,730,728
P61,6,6,736,742,730,736,730
P84,6,14,742,756,736,750,736
P87,6,8,756,764,750,758,750
P100,6,7,764,771,758,765,758
P13,7,8,771,779,764,772,764
P28,7,2,779,781,772,774,772
P38,7,6,781,787,774,780,774
P48,7,12,787,799,780,792,780
P65,7,12,799,811,792,804,792
P71,7,19,811,830,804,823,804
P11,8,7,830,837,822,829,822
P20,8,15,837,852,829,844,829
P66,8,4,852,856,844,848,844
P72,8,2,856,858,848,850,848
P79,8,10,858,868,850,860,850
P92,8,7,868,875,860,867,860
P93,8,16,875,891,867,883,867
P94,8,8,891,899,883,891,883
P1,9,8,899,907,890,898,890
P10,9,10,907,917,898,908,898
P12,9,6,917,923,908,914,908
P23,9,17,923,940,914,931,914
P40,9,11,940,951,931,942,931
P44,9,16,951,967,942,958,942
P46,9,4,967,971,958,962,958
P49,9,16,971,987,962,978,962
P52,9,3,987,990,978,981,978
P56,9,5,990,995,981,986,981
P58,9,1,995,996,986,987,986
P60,9,11,996,1007,987,998,987
P62,9,12,1007,1019,998,1010,998
P74,9,12,1019,1031,1010,1022,1010
P82,9,7,1031,1038,1022,1029,1022
P85,9,18,1038,1056,1029,1047,1029
P99,9,15,1056,1071,1047,1062,1047
SUMMARY,FCFS - First Come First Serve,100 processes,Avg Wait: 553.18,Avg Turn: 563.89,Avg Response: 553.18,CPU Utilization %: 100.00,Throughput: 0.0934,,
