Process ID,Arrival,Burst,Start,Finish,Waiting,Turnaround,Response Time
P1,0,3,0,3,0,3,0
P2,0,13,3,16,3,16,3
P3,0,11,16,27,16,27,16
P4,0,16,27,43,27,43,27
P5,0,14,43,57,43,57,43
P6,0,10,57,67,57,67,57
P7,0,7,67,74,67,74,67
P8,0,13,74,87,74,87,74
P9,0,2,87,89,87,89,87
P10,0,5,89,94,89,94,89
P11,0,17,94,111,94,111,94
P12,0,8,111,119,111,119,111
P13,0,9,119,128,119,128,119
P14,0,6,128,134,128,134,128
P15,0,3,134,137,134,137,134
P16,0,12,137,149,137,149,137
P17,0,8,149,157,149,157,149
P18,0,16,157,173,157,173,157
P19,0,11,173,184,173,184,173
P20,0,5,184,189,184,189,184
P21,0,18,189,207,189,207,189
P22,0,13,207,220,207,220,207
P23,0,2,220,222,220,222,220
P24,0,14,222,236,222,236,222
P25,0,12,236,248,236,248,236
P26,0,13,248,261,248,261,248
P27,0,13,261,274,261,274,261
P28,0,16,274,290,274,290,274
P29,0,15,290,305,290,305,290
P30,0,1,305,306,305,306,305
P31,0,8,306,314,306,314,306
P32,0,1,314,315,314,315,314
P33,0,13,315,328,315,328,315
P34,0,3,328,331,328,331,328
P35,0,15,331,346,331,346,331
P36,0,19,346,365,346,365,346
P37,0,7,365,372,365,372,365
P38,0,4,372,376,372,376,372
P39,0,20,376,396,376,396,376
P40,0,20,396,416,396,416,396
P41,0,11,416,427,416,427,416
P42,0,5,427,432,427,432,427
P43,0,8,432,440,432,440,432
P44,0,14,440,454,440,454,440
P45,0,11,454,465,454,465,454
P46,0,16,465,481,465,481,465
P47,0,9,481,490,481,490,481
P48,0,20,490,510,490,510,490
P49,0,16,510,526,510,526,510
P50,0,1,526,527,526,527,526
SUMMARY,FCFS - First Come First Serve,50 processes,Avg Wait: 247.82,Avg Turn: 258.36,Avg Response: 247.82,CPU Utilization %: 100.00,Throughput: 0.0949,,
