Process ID,Arrival,Burst,Start,Finish,Waiting,Turnaround,Response Time
P77,0,10,0,10,0,10,0
P84,6,14,10,24,4,18,4
P43,3,19,24,43,21,40,21
P61,6,6,43,49,37,43,37
P95,4,2,49,51,45,47,45
P31,1,19,51,70,50,69,50
P4,6,16,70,86,64,80,64
P68,2,20,86,106,84,104,84
P20,8,15,106,121,98,113,98
P26,0,17,121,138,121,138,121
P25,3,20,138,158,135,155,135
P67,3,14,158,172,155,169,155
P1,9,8,172,180,163,171,163
P51,0,18,180,198,180,198,180
P99,9,15,198,213,189,204,189
P57,6,20,213,233,207,227,207
P75,4,9,233,242,229,238,229
P29,1,12,242,254,241,253,241
P65,7,12,254,266,247,259,247
P92,8,7,266,273,258,265,258
P55,2,1,273,274,271,272,271
P32,5,17,274,291,269,286,269
P38,7,6,291,297,284,290,284
P74,9,12,297,309,288,300,288
P76,4,2,309,311,305,307,305
P16,6,15,311,326,305,320,305
P37,1,8,326,334,325,333,325
P83,3,8,334,342,331,339,331
P82,9,7,342,349,333,340,333
P70,4,8,349,357,345,353,345
P17,5,3,357,360,352,355,352
P73,2,17,360,377,358,375,358
P91,1,17,377,394,376,393,376
P81,1,8,394,402,393,401,393
P54,1,18,402,420,401,419,401
P66,8,4,420,424,412,416,412
P47,1,8,424,432,423,431,423
P97,5,11,432,443,427,438,427
P35,0,5,443,448,443,448,443
P94,8,8,448,456,440,448,440
P2,4,8,456,464,452,460,452
P80,5,10,464,474,459,469,459
P27,2,20,474,494,472,492,472
P93,8,16,494,510,486,502,486
P71,7,19,510,529,503,522,503
P22,3,1,529,530,526,527,526
P8,4,8,530,538,526,534,526
P60,9,11,538,549,529,540,529
P63,4,9,549,558,545,554,545
P40,9,11,558,569,549,560,549
P46,9,4,569,573,560,564,560
P15,3,19,573,592,570,589,570
P53,5,19,592,611,587,606,587
P13,7,8,611,619,604,612,604
P9,2,6,619,625,617,623,617
P10,9,10,625,635,616,626,616
P52,9,3,635,638,626,629,626
P41,0,20,638,658,638,658,638
P30,2,6,658,664,656,662,656
P42,4,12,664,676,660,672,660
P14,0,19,676,695,676,695,676
P3,1,15,695,710,694,709,694
P19,6,1,710,711,704,705,704
P78,4,14,711,725,707,721,707
P88,4,4,725,729,721,725,721
P90,5,18,729,747,724,742,724
P50,3,13,747,760,744,757,744
P12,9,6,760,766,751,757,751
P44,9,16,766,782,757,773,757
P58,9,1,782,783,773,774,773
P11,8,7,783,790,775,782,775
P28,7,2,790,792,783,785,783
P69,1,3,792,795,791,794,791
P64,5,20,795,815,790,810,790
P79,8,10,815,825,807,817,807
P62,9,12,825,837,816,828,816
P59,6,2,837,839,831,833,831
P5,2,4,839,843,837,841,837
P36,2,9,843,852,841,850,841
P34,5,19,852,871,847,866,847
P49,9,16,871,887,862,878,862
P6,3,2,887,889,884,886,884
P100,6,7,889,896,883,890,883
P98,4,20,896,916,892,912,892
P72,8,2,916,918,908,910,908
P96,4,17,918,935,914,931,914
P89,5,5,935,940,930,935,930
P18,6,1,940,941,934,935,934
P48,7,12,941,953,934,946,934
P85,9,18,953,971,944,962,944
P45,2,13,971,984,969,982,969
P21,3,4,984,988,981,985,981
P56,9,5,988,993,979,984,979
P39,0,14,993,1007,993,1007,993
P87,6,8,1007,1015,1001,1009,1001
P24,4,9,1015,1024,1011,1020,1011
P86,5,6,1024,1030,1019,1025,1019
P33,1,19,1030,1049,1029,1048,1029
P7,2,5,1049,1054,1047,1052,1047
P23,9,17,1054,1071,1045,1062,1045
SUMMARY,Priority Scheduling (Higher # = Higher Priority),100 processes,Avg Wait: 553.18,Avg Turn: 563.89,Avg Response: 553.18,CPU Utilization %: 100.00,Throughput: 0.0934,,
