Process ID,Arrival,Burst,Start,Finish,Waiting,Turnaround,Response Time
P2,0,4578598,0,4578598,0,4578598,0
P4,0,13453146,4578598,18031744,4578598,18031744,4578598
P6,0,346457,18031744,18378201,18031744,18378201,18031744
P8,0,4574,18378201,18382775,18378201,18382775,18378201
P10,0,3456547,18382775,21839322,18382775,21839322,18382775
P17,0,54747,21839322,21894069,21839322,21894069,21839322
P18,0,3460,21894069,21897529,21894069,21897529,21894069
P19,0,457487,21897529,22355016,21897529,22355016,21897529
P27,0,4574,22355016,22359590,22355016,22359590,22355016
P28,0,568956,22359590,22928546,22359590,22928546,22359590
P29,0,798645,22928546,23727191,22928546,23727191,22928546
P36,0,457848,23727191,24185039,23727191,24185039,23727191
P37,0,447457,24185039,24632496,24185039,24632496,24185039
P39,0,457,24632496,24632953,24632496,24632953,24632496
P42,0,6584,24632953,24639537,24632953,24639537,24632953
P43,0,45745745,24639537,70385282,24639537,70385282,24639537
P44,0,45745,70385282,70431027,70385282,70431027,70385282
P47,0,6679678,70431027,77110705,70431027,77110705,70431027
P33,1,7,77110705,77110712,77110704,77110711,77110704
P3,2,19,77110712,77110731,77110710,77110729,77110710
P32,5,4,77110731,77110735,77110726,77110730,77110726
P35,5,17,77110735,77110752,77110730,77110747,77110730
P38,5,9,77110752,77110761,77110747,77110756,77110747
P41,5,20,77110761,77110781,77110756,77110776,77110756
P15,6,19,77110781,77110800,77110775,77110794,77110775
P23,6,4,77110800,77110804,77110794,77110798,77110794
P13,7,6,77110804,77110810,77110797,77110803,77110797
P16,7,17,77110810,77110827,77110803,77110820,77110803
P20,7,15,77110827,77110842,77110820,77110835,77110820
P49,0,17,77110842,77110859,77110842,77110859,77110842
P14,1,19,77110859,77110878,77110858,77110877,77110858
P21,8,12,77110878,77110890,77110870,77110882,77110870
P5,9,5,77110890,77110895,77110881,77110886,77110881
P30,7,15,77110895,77110910,77110888,77110903,77110888
P46,1,4,77110910,77110914,77110909,77110913,77110909
P11,8,6,77110914,77110920,77110906,77110912,77110906
P26,1,12,77110920,77110932,77110919,77110931,77110919
P9,9,14,77110932,77110946,77110923,77110937,77110923
P40,1,12,77110946,77110958,77110945,77110957,77110945
P48,9,19,77110958,77110977,77110949,77110968,77110949
P25,8,10,77110977,77110987,77110969,77110979,77110969
P45,9,18,77110987,77111005,77110978,77110996,77110978
P50,9,18,77111005,77111023,77110996,77111014,77110996
P22,8,11,77111023,77111034,77111015,77111026,77111015
P12,0,7,77111034,77111041,77111034,77111041,77111034
P31,9,6,77111041,77111047,77111032,77111038,77111032
P1,8,12,77111047,77111059,77111039,77111051,77111039
P34,9,6,77111059,77111065,77111050,77111056,77111050
P7,8,14,77111065,77111079,77111057,77111071,77111057
P24,9,9,77111079,77111088,77111070,77111079,77111070
SUMMARY,Priority Scheduling (Higher # = Higher Priority),50 processes,Avg Wait: 58456548.14,Avg Turn: 59998769.90,Avg Response: 58456548.14,CPU Utilization %: 100.00,Throughput: 0.0000,,
