Process ID,Arrival,Burst,Start,Finish,Waiting,Turnaround,Response Time
P14,0,19,0,945,926,945,0
P26,0,17,4,990,973,990,4
P35,0,5,8,379,374,379,8
P39,0,14,12,877,863,877,12
P41,0,20,16,1013,993,1013,16
P51,0,18,20,1015,997,1015,20
P77,0,10,24,688,678,688,24
P3,1,15,28,888,872,887,27
P29,1,12,32,696,683,695,31
P31,1,19,36,1018,998,1017,35
P33,1,19,40,1021,1001,1020,39
P37,1,8,44,415,406,414,43
P47,1,8,48,419,410,418,47
P54,1,18,52,1023,1004,1022,51
P69,1,3,56,59,55,58,55
P81,1,8,59,427,418,426,58
P91,1,17,63,1024,1006,1023,62
P5,2,4,67,71,65,69,65
P7,2,5,71,432,425,430,69
P9,2,6,75,434,426,432,73
P27,2,20,79,1028,1006,1026,77
P30,2,6,83,440,432,438,81
P36,2,9,87,717,706,715,85
P45,2,13,91,909,894,907,89
P55,2,1,95,96,93,94,93
P68,2,20,96,1032,1010,1030,94
P73,2,17,100,1033,1014,1031,98
P6,3,2,104,106,101,103,101
P15,3,19,106,1036,1014,1033,103
P21,3,4,110,114,107,111,107
P22,3,1,114,115,111,112,111
P25,3,20,115,1040,1017,1037,112
P43,3,19,119,1043,1021,1040,116
P50,3,13,123,930,914,927,120
P67,3,14,127,932,915,929,124
P83,3,8,131,480,469,477,128
P2,4,8,135,484,472,480,131
P8,4,8,139,488,476,484,135
P24,4,9,143,750,737,746,139
P42,4,12,147,754,738,750,143
P63,4,9,151,755,742,751,147
P70,4,8,155,504,492,500,151
P75,4,9,159,756,743,752,155
P76,4,2,163,165,159,161,159
P78,4,14,165,934,916,930,161
P88,4,4,169,173,165,169,165
P95,4,2,173,175,169,171,169
P96,4,17,175,1044,1023,1040,171
P98,4,20,179,1048,1024,1044,175
P17,5,3,187,190,182,185,182
P32,5,17,190,1049,1027,1044,185
P34,5,19,194,1052,1028,1047,189
P53,5,19,198,1055,1031,1050,193
P64,5,20,202,1059,1034,1054,197
P80,5,10,206,790,775,785,201
P86,5,6,210,546,535,541,205
P89,5,5,214,547,537,542,209
P90,5,18,218,1061,1038,1056,213
P97,5,11,222,797,781,792,217
P4,6,16,226,969,947,963,220
P16,6,15,230,972,951,966,224
P18,6,1,234,235,228,229,228
P19,6,1,235,236,229,230,229
P57,6,20,236,1065,1039,1059,230
P59,6,2,240,242,234,236,234
P61,6,6,242,569,557,563,236
P84,6,14,246,978,958,972,240
P87,6,8,250,577,563,571,244
P100,6,7,254,580,567,574,248
P13,7,8,258,584,569,577,251
P28,7,2,262,264,255,257,255
P38,7,6,264,586,573,579,257
P48,7,12,268,817,798,810,261
P65,7,12,272,821,802,814,265
P71,7,19,276,1068,1042,1061,269
P11,8,7,280,601,586,593,272
P20,8,15,284,985,962,977,276
P66,8,4,288,292,280,284,280
P72,8,2,292,294,284,286,284
P79,8,10,294,831,813,823,286
P92,8,7,298,612,597,604,290
P93,8,16,302,989,965,981,294
P94,8,8,306,620,604,612,298
P1,9,8,314,628,611,619,305
P10,9,10,318,841,822,832,309
P12,9,6,322,634,619,625,313
P23,9,17,326,1069,1043,1060,317
P40,9,11,330,848,828,839,321
P44,9,16,334,998,973,989,325
P46,9,4,338,342,329,333,329
P49,9,16,342,1002,977,993,333
P52,9,3,346,349,337,340,337
P56,9,5,349,651,637,642,340
P58,9,1,353,354,344,345,344
P60,9,11,354,859,839,850,345
P62,9,12,358,863,842,854,349
P74,9,12,362,867,846,858,353
P82,9,7,366,666,650,657,357
P85,9,18,370,1071,1044,1062,361
P99,9,15,374,1009,985,1000,365
SUMMARY,Round Robin (Quantum = 4),100 processes,Avg Wait: 683.50,Avg Turn: 694.21,Avg Response: 182.44,CPU Utilization %: 100.00,Throughput: 0.0934,,
