Process ID,Arrival,Burst,Start,Finish,Waiting,Turnaround,Response Time
P9,0,6,0,66,60,66,0
P31,0,11,4,255,244,255,4
P4,1,6,8,143,136,142,7
P10,1,13,12,352,338,351,11
P21,1,5,16,148,142,147,15
P26,1,12,20,267,254,266,19
P32,2,10,24,269,257,267,22
P15,3,13,28,353,337,350,25
P16,3,14,32,355,338,352,29
P23,3,11,36,280,266,277,33
P27,3,16,40,359,340,356,37
P28,3,16,44,363,344,360,41
P5,4,13,48,364,347,360,44
P6,4,8,52,184,172,180,48
P7,4,12,56,296,280,292,52
P12,4,11,60,299,284,295,56
P1,5,16,66,368,347,363,61
P19,5,4,70,74,65,69,65
P24,5,9,74,304,290,299,69
P2,6,17,78,406,383,400,72
P3,6,1,82,83,76,77,76
P8,6,19,83,409,384,403,77
P22,6,13,87,377,358,371,81
P30,7,16,91,381,358,374,84
P33,7,16,95,385,362,378,88
P34,7,2,99,101,92,94,92
P11,8,17,101,410,385,402,93
P13,8,8,105,228,212,220,97
P14,8,17,109,411,386,403,101
P17,8,16,113,397,373,389,105
P18,8,10,117,338,320,330,109
P20,8,12,121,342,322,334,113
P29,8,17,125,412,387,404,117
P35,8,9,129,347,330,339,121
P25,9,20,137,416,387,407,128
SUMMARY,Round Robin (Quantum = 4),35 processes,Avg Wait: 284.46,Avg Turn: 296.34,Avg Response: 62.63,CPU Utilization %: 100.00,Throughput: 0.0841,,
