Process ID,Arrival,Burst,Start,Finish,Waiting,Turnaround,Response Time
P9,0,6,0,6,0,6,0
P3,6,1,6,7,0,1,0
P34,7,2,7,9,0,2,0
P19,5,4,9,13,4,8,4
P21,1,5,13,18,12,17,12
P4,1,6,18,24,17,23,17
P6,4,8,24,32,20,28,20
P13,8,8,32,40,24,32,24
P24,5,9,40,49,35,44,35
P35,8,9,49,58,41,50,41
P32,2,10,58,68,56,66,56
P18,8,10,68,78,60,70,60
P31,0,11,78,89,78,89,78
P23,3,11,89,100,86,97,86
P12,4,11,100,111,96,107,96
P26,1,12,111,123,110,122,110
P7,4,12,123,135,119,131,119
P20,8,12,135,147,127,139,127
P10,1,13,147,160,146,159,146
P15,3,13,160,173,157,170,157
P5,4,13,173,186,169,182,169
P22,6,13,186,199,180,193,180
P16,3,14,199,213,196,210,196
P27,3,16,213,229,210,226,210
P28,3,16,229,245,226,242,226
P1,5,16,245,261,240,256,240
P30,7,16,261,277,254,270,254
P33,7,16,277,293,270,286,270
P17,8,16,293,309,285,301,285
P2,6,17,309,326,303,320,303
P11,8,17,326,343,318,335,318
P14,8,17,343,360,335,352,335
P29,8,17,360,377,352,369,352
P8,6,19,377,396,371,390,371
P25,9,20,396,416,387,407,387
SUMMARY,SJF - Shortest Job First,35 processes,Avg Wait: 150.97,Avg Turn: 162.86,Avg Response: 150.97,CPU Utilization %: 100.00,Throughput: 0.0841,,
