Process ID,Arrival,Burst,Start,Finish,Waiting,Turnaround,Response Time
P35,0,1,0,1,0,1,0
P22,1,1,1,2,0,1,0
P27,1,1,2,3,1,2,1
P7,2,1,3,4,1,2,1
P32,2,1,4,5,2,3,2
P8,3,1,5,6,2,3,2
P11,3,1,6,7,3,4,3
P31,3,1,7,8,4,5,4
P3,4,1,8,9,4,5,4
P9,5,1,9,10,4,5,4
P13,5,1,10,11,5,6,5
P18,5,1,11,12,6,7,6
P37,5,1,12,13,7,8,7
P40,5,1,13,14,8,9,8
P41,5,1,14,15,9,10,9
P48,5,1,15,16,10,11,10
P17,1,2,16,18,15,17,15
P44,1,2,18,20,17,19,17
P10,2,2,20,22,18,20,18
P20,3,2,22,24,19,21,19
P5,4,2,24,26,20,22,20
P15,4,2,26,28,22,24,22
P25,4,2,28,30,24,26,24
P33,4,2,30,32,26,28,26
P43,4,2,32,34,28,30,28
P21,7,2,34,36,27,29,27
P26,8,5,36,41,28,33,28
P16,0,6,41,47,41,47,41
P36,0,111,47,158,47,158,47
P6,1,111,158,269,157,268,157
P1,6,123,269,392,263,386,263
P24,6,234,392,626,386,620,386
P12,9,234,626,860,617,851,617
P34,8,235,860,1095,852,1087,852
P46,8,235,1095,1330,1087,1322,1087
P45,0,323,1330,1653,1330,1653,1330
P14,8,343,1653,1996,1645,1988,1645
P50,5,345,1996,2341,1991,2336,1991
P28,8,645,2341,2986,2333,2978,2333
P23,9,2343,2986,5329,2977,5320,2977
P49,7,2345,5329,7674,5322,7667,5322
P30,9,2356,7674,10030,7665,10021,7665
P47,9,3425,10030,13455,10021,13446,10021
P38,7,3467,13455,16922,13448,16915,13448
P39,7,3467,16922,20389,16915,20382,16915
P29,7,4556,20389,24945,20382,24938,20382
P2,6,4562,24945,29507,24939,29501,24939
P19,7,5267,29507,34774,29500,34767,29500
P42,8,5423,34774,40197,34766,40189,34766
P4,8,23432,40197,63629,40189,63621,40189
SUMMARY,SRTF - Shortest Remaining Time Left,50 processes,Avg Wait: 4343.66,Avg Turn: 5616.24,Avg Response: 4343.66,CPU Utilization %: 100.00,Throughput: 0.0008,,
