Process ID,Arrival,Burst,Start,Finish,Waiting,Turnaround,Response Time
P9,0,3,0,3,0,3,0
P13,5,2,5,7,0,2,0
P43,5,2,7,9,2,4,2
P40,8,1,9,10,1,2,1
P47,5,3,10,13,5,8,5
P44,6,3,13,16,7,10,7
P17,7,4,16,20,9,13,9
P29,8,4,20,24,12,16,12
P49,6,5,24,29,18,23,18
P27,8,5,29,34,21,26,21
P26,0,8,3,40,32,40,3
P12,9,6,40,46,31,37,31
P37,9,10,46,56,37,47,37
P8,7,11,56,67,49,60,49
P1,7,12,67,79,60,72,60
P33,8,12,79,91,71,83,71
P42,6,13,91,104,85,98,85
P21,8,13,104,117,96,109,96
P24,0,14,117,131,117,131,117
P34,0,14,131,145,131,145,131
P41,0,14,145,159,145,159,145
P46,0,14,159,173,159,173,159
P3,1,14,173,187,172,186,172
P16,1,14,187,201,186,200,186
P45,1,14,201,215,200,214,200
P6,2,14,215,229,213,227,213
P35,2,14,229,243,227,241,227
P4,3,14,243,257,240,254,240
P7,3,14,257,271,254,268,254
P14,3,14,271,285,268,282,268
P20,3,14,285,299,282,296,282
P48,3,14,299,313,296,310,296
P19,4,14,313,327,309,323,309
P23,4,14,327,341,323,337,323
P28,4,14,341,355,337,351,337
P15,5,14,355,369,350,364,350
P32,5,14,369,383,364,378,364
P11,6,14,383,397,377,391,377
P18,6,14,397,411,391,405,391
P25,6,14,411,425,405,419,405
P50,3,16,425,441,422,438,422
P5,5,16,441,457,436,452,436
P39,8,16,457,473,449,465,449
P22,1,17,473,490,472,489,472
P30,1,17,490,507,489,506,489
P38,8,17,507,524,499,516,499
P31,9,17,524,541,515,532,515
P2,9,18,541,559,532,550,532
P10,9,18,559,577,550,568,550
P36,7,20,577,597,570,590,570
SUMMARY,SRTF - Shortest Remaining Time Left,50 processes,Avg Wait: 224.32,Avg Turn: 236.26,Avg Response: 223.74,CPU Utilization %: 100.00,Throughput: 0.0838,,
