Process ID,Arrival,Burst,Start,Finish,Waiting,Turnaround,Response Time
P30,0,1,0,1,0,1,0
P32,0,1,1,2,1,2,1
P50,0,1,2,3,2,3,2
P9,0,2,3,5,3,5,3
P23,0,2,5,7,5,7,5
P1,0,3,7,10,7,10,7
P15,0,3,10,13,10,13,10
P34,0,3,13,16,13,16,13
P38,0,4,16,20,16,20,16
P10,0,5,20,25,20,25,20
P20,0,5,25,30,25,30,25
P42,0,5,30,35,30,35,30
P14,0,6,35,41,35,41,35
P7,0,7,41,48,41,48,41
P37,0,7,48,55,48,55,48
P12,0,8,55,63,55,63,55
P17,0,8,63,71,63,71,63
P31,0,8,71,79,71,79,71
P43,0,8,79,87,79,87,79
P13,0,9,87,96,87,96,87
P47,0,9,96,105,96,105,96
P6,0,10,105,115,105,115,105
P3,0,11,115,126,115,126,115
P19,0,11,126,137,126,137,126
P41,0,11,137,148,137,148,137
P45,0,11,148,159,148,159,148
P16,0,12,159,171,159,171,159
P25,0,12,171,183,171,183,171
P2,0,13,183,196,183,196,183
P8,0,13,196,209,196,209,196
P22,0,13,209,222,209,222,209
P26,0,13,222,235,222,235,222
P27,0,13,235,248,235,248,235
P33,0,13,248,261,248,261,248
P5,0,14,261,275,261,275,261
P24,0,14,275,289,275,289,275
P44,0,14,289,303,289,303,289
P29,0,15,303,318,303,318,303
P35,0,15,318,333,318,333,318
P4,0,16,333,349,333,349,333
P18,0,16,349,365,349,365,349
P28,0,16,365,381,365,381,365
P46,0,16,381,397,381,397,381
P49,0,16,397,413,397,413,397
P11,0,17,413,430,413,430,413
P21,0,18,430,448,430,448,430
P36,0,19,448,467,448,467,448
P39,0,20,467,487,467,487,467
P40,0,20,487,507,487,507,487
P48,0,20,507,527,507,527,507
SUMMARY,SRTF - Shortest Remaining Time Left,50 processes,Avg Wait: 179.68,Avg Turn: 190.22,Avg Response: 179.68,CPU Utilization %: 100.00,Throughput: 0.0949,,
